outcome,organic___0___molarity,organic___0____feat__accsitecount_std,organic___0____feat__aliphaticatomcount_std,organic___0____feat__aliphaticringcount_std,organic___0____feat__aromaticatomcount_std,organic___0____feat__aromaticringcount_std,organic___0____feat__asa+_std,organic___0____feat__asa-_std,organic___0____feat__asa_std,organic___0____feat__asah_std,organic___0____feat__asap_std,organic___0____feat__asavdwp_std,organic___0____feat__atomcount_c_std,organic___0____feat__atomcount_n_std,organic___0____feat__avgpol_std,organic___0____feat__balabanindex_std,organic___0____feat__bondcount_std,organic___0____feat__carboaliphaticringcount_std,organic___0____feat__carboaromaticringcount_std,organic___0____feat__carboringcount_std,organic___0____feat__chainatomcount_std,organic___0____feat__cyclomaticnumber_std,organic___0____feat__donsitecount_std,organic___0____feat__fr_amidine,organic___0____feat__fr_halogen,organic___0____feat__fr_nh0,organic___0____feat__fr_nh1,organic___0____feat__fr_nh2,organic___0____feat__fr_piperzine,organic___0____feat__fr_pyridine,organic___0____feat__fr_quatn,organic___0____feat__hacceptorcount_std,organic___0____feat__hdonorcount_std,organic___0____feat__heteroaliphaticringcount_std,organic___0____feat__heteroaromaticringcount_std,organic___0____feat__hyperwienerindex_std,organic___0____feat__largestringsize_std,organic___0____feat__maximalprojectionarea_std,organic___0____feat__maximalprojectionradius_std,organic___0____feat__maximalprojectionsize_std,organic___0____feat__minimalprojectionarea_std,organic___0____feat__minimalprojectionradius_std,organic___0____feat__minimalprojectionsize_std,organic___0____feat__molpol_std,organic___0____feat__organoammoniummolecularweight_std,organic___0____feat__protpsa_std,organic___0____feat__refractivity_std,organic___0____feat__ringatomcount_std,organic___0____feat__rotatablebondcount_std,organic___0____feat__saltmolecularweight,organic___0____feat__smallestringsize_std,organic___0____feat__vanderwaalsvolume_std,organic___0____feat__wienerindex_std,organic___0____feat__wienerpolarity_std,inorganic___0___molarity,inorganic___0____feat__fr_halogen,inorganic___0____feat__inorganicmolecularweight,solvent___0___molarity,solvent___0____feat__asavdwp,solvent___0____feat__avgpol,solvent___0____feat__hacceptorcount,solvent___0____feat__hansentriple_volume_amount,solvent___0____feat__hansentriple_deltad_amount,solvent___0____feat__hansentriple_deltah_amount,solvent___0____feat__hansentriple_deltap_amount,solvent___0____feat__hansentriple_deltat_amount,solvent___0____feat__maximalprojectionsize,solvent___0____feat__minimalprojectionsize,solvent___0____feat__refractivity,solvent___0____feat__solventmolecularweight,solvent___0____feat__vanderwaalsvolume,acid___0___molarity,acid___0____feat__asavdwp,acid___0____feat__avgpol,acid___0____feat__hacceptorcount,acid___0____feat__hansentriple_volume_amount,acid___0____feat__hansentriple_deltad_amount,acid___0____feat__hansentriple_deltah_amount,acid___0____feat__hansentriple_deltap_amount,acid___0____feat__hansentriple_deltat_amount,acid___0____feat__hdonorcount,acid___0____feat__maximalprojectionsize,acid___0____feat__minimalprojectionsize,acid___0____feat__refractivity,acid___0____feat__solventmolecularweight,acid___0____feat__vanderwaalsvolume,alpha_vial_volume,beta_vial_volume,reaction_time,reaction_temperature
4,1.4148057318267522,0.0,3.0,0.0,0.0,0.0,154.04,61.53,215.57,164.65,50.92,112.02,2.0,1.0,6.09,1.63,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0.0,0.0,172.997,0.0,59.49,4.0,0.0,0.6476518625530959,2.0,461.0,7.82612293426468,139.79,8.23,1.0,76.5,18.0,7.4,16.6,25.579679435051567,5.63,6.7,20.31,86.09,78.72,6.116412373201425,65.19,3.37,2.0,37.8,14.3,16.6,11.9,25.0,1.0,3.41,5.19,8.15,46.025,39.21,0.00065,0.001,21600.0,85.0
4,1.715131475026473,0.0,3.0,0.0,0.0,0.0,154.04,61.53,215.57,164.65,50.92,112.02,2.0,1.0,6.09,1.63,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0.0,0.0,172.997,0.0,59.49,4.0,0.0,0.7823211566296019,2.0,461.0,7.427793564156183,139.79,8.23,1.0,76.5,18.0,7.4,16.6,25.579679435051567,5.63,6.7,20.31,86.09,78.72,5.990170631752477,65.19,3.37,2.0,37.8,14.3,16.6,11.9,25.0,1.0,3.41,5.19,8.15,46.025,39.21,0.0006460000000000001,0.001,21600.0,85.0
1,1.7576500086558342,0.0,3.0,0.0,0.0,0.0,154.04,61.53,215.57,164.65,50.92,112.02,2.0,1.0,6.09,1.63,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0.0,0.0,172.997,0.0,59.49,4.0,0.0,0.4240642912138791,2.0,461.0,8.118530134012289,139.79,8.23,1.0,76.5,18.0,7.4,16.6,25.579679435051567,5.63,6.7,20.31,86.09,78.72,5.19862273520764,65.19,3.37,2.0,37.8,14.3,16.6,11.9,25.0,1.0,3.41,5.19,8.15,46.025,39.21,0.000622,0.001,21600.0,85.0
4,1.1655077275783785,0.0,3.0,0.0,0.0,0.0,154.04,61.53,215.57,164.65,50.92,112.02,2.0,1.0,6.09,1.63,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0.0,0.0,172.997,0.0,59.49,4.0,0.0,0.3173793690405272,2.0,461.0,7.227637369755611,139.79,8.23,1.0,76.5,18.0,7.4,16.6,25.579679435051567,5.63,6.7,20.31,86.09,78.72,8.547506722080037,65.19,3.37,2.0,37.8,14.3,16.6,11.9,25.0,1.0,3.41,5.19,8.15,46.025,39.21,0.000738,0.001,21600.0,85.0
4,1.5982921559129344,0.0,3.0,0.0,0.0,0.0,154.04,61.53,215.57,164.65,50.92,112.02,2.0,1.0,6.09,1.63,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0.0,0.0,172.997,0.0,59.49,4.0,0.0,0.6490511622302049,2.0,461.0,6.588397596353773,139.79,8.23,1.0,76.5,18.0,7.4,16.6,25.579679435051567,5.63,6.7,20.31,86.09,78.72,8.225520088098465,65.19,3.37,2.0,37.8,14.3,16.6,11.9,25.0,1.0,3.41,5.19,8.15,46.025,39.21,0.000725,0.001,21600.0,85.0
4,1.7836435080903108,0.0,3.0,0.0,0.0,0.0,154.04,61.53,215.57,164.65,50.92,112.02,2.0,1.0,6.09,1.63,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0.0,0.0,172.997,0.0,59.49,4.0,0.0,0.4773291058553973,2.0,461.0,6.552434664089679,139.79,8.23,1.0,76.5,18.0,7.4,16.6,25.579679435051567,5.63,6.7,20.31,86.09,78.72,8.225520088098465,65.19,3.37,2.0,37.8,14.3,16.6,11.9,25.0,1.0,3.41,5.19,8.15,46.025,39.21,0.000725,0.001,21600.0,85.0
4,1.5131603145127979,0.0,3.0,0.0,0.0,0.0,154.04,61.53,215.57,164.65,50.92,112.02,2.0,1.0,6.09,1.63,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0.0,0.0,172.997,0.0,59.49,4.0,0.0,0.6803573664104938,2.0,461.0,8.325248068048682,139.79,8.23,1.0,76.5,18.0,7.4,16.6,25.579679435051567,5.63,6.7,20.31,86.09,78.72,4.815048038477717,65.19,3.37,2.0,37.8,14.3,16.6,11.9,25.0,1.0,3.41,5.19,8.15,46.025,39.21,0.000611,0.001,21600.0,85.0
1,2.393373785105114,0.0,3.0,0.0,0.0,0.0,154.04,61.53,215.57,164.65,50.92,112.02,2.0,1.0,6.09,1.63,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0.0,0.0,172.997,0.0,59.49,4.0,0.0,0.19451916602878527,2.0,461.0,6.781448070211277,139.79,8.23,1.0,76.5,18.0,7.4,16.6,25.579679435051567,5.63,6.7,20.31,86.09,78.72,6.958396377378611,65.19,3.37,2.0,37.8,14.3,16.6,11.9,25.0,1.0,3.41,5.19,8.15,46.025,39.21,0.000678,0.001,21600.0,85.0
4,0.9604236688245283,0.0,3.0,0.0,0.0,0.0,154.04,61.53,215.57,164.65,50.92,112.02,2.0,1.0,6.09,1.63,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0.0,0.0,172.997,0.0,59.49,4.0,0.0,0.3672898343331908,2.0,461.0,7.332746704285276,139.79,8.23,1.0,76.5,18.0,7.4,16.6,25.579679435051567,5.63,6.7,20.31,86.09,78.72,8.692320809943958,65.19,3.37,2.0,37.8,14.3,16.6,11.9,25.0,1.0,3.41,5.19,8.15,46.025,39.21,0.0007440000000000001,0.001,21600.0,85.0
1,1.7756172311203675,0.0,3.0,0.0,0.0,0.0,154.04,61.53,215.57,164.65,50.92,112.02,2.0,1.0,6.09,1.63,10.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,22.85,3.3,5.17,17.09,2.59,6.59,5.88,46.092,27.64,25.96,0.0,0.0,172.997,0.0,59.49,4.0,0.0,0.007419634012237131,2.0,461.0,7.195418124090429,139.79,8.23,1.0,76.5,18.0,7.4,16.6,25.579679435051567,5.63,6.7,20.31,86.09,78.72,7.865597346315755,65.19,3.37,2.0,37.8,14.3,16.6,11.9,25.0,1.0,3.41,5.19,8.15,46.025,39.21,0.0007109999999999999,0.001,21600.0,85.0
