1,2,3,4,5,6,7
6,Stearic_acid,120,0,0.0,522.1854333333332,0.0019846911700342703
12,Stearic_acid,120,0,0.0,568.7257666666666,0.005692524062451879
24,Stearic_acid,120,0,0.0,1216.6416666666664,0.012296277961372714
48,Stearic_acid,120,0,0.0,61.45629999999997,0.07009943763674324
6,Stearic_acid,108,12,0.0,394.81190000000004,0.0016749841386063322
12,Stearic_acid,108,12,0.0,303.1645,0.007474136590109207
24,Stearic_acid,108,12,0.0,1398.1703333333335,0.011733248386455628
48,Stearic_acid,108,12,0.0,66.0085333333333,0.06456593048760072
6,Stearic_acid,96,24,0.0,335.5156666666667,0.001992116030479618
12,Stearic_acid,96,24,0.0,381.87276666666673,0.0065835958496055684
24,Stearic_acid,96,24,0.0,1459.7266666666667,0.011741709088739997
48,Stearic_acid,96,24,0.0,15.875099999999975,0.060035911687761616
6,Stearic_acid,72,48,0.0,638.7584,0.0026621458247371517
12,Stearic_acid,72,48,0.0,938.1399000000001,0.005085160824808412
24,Stearic_acid,72,48,0.0,281.688,0.028562015539092298
48,Stearic_acid,72,48,0.0,78.5361,0.10196505429776595
6,Stearic_acid,120,0,0.0025,1817.4623333333334,0.005560620195166524
12,Stearic_acid,120,0,0.0025,2191.840333333333,0.021451910476692055
24,Stearic_acid,120,0,0.0025,2671.5856666666664,0.06621126137553214
48,Stearic_acid,120,0,0.0025,289.8053,0.15843003252369006
6,Stearic_acid,108,12,0.0025,2777.4756666666667,0.006314215709300662
12,Stearic_acid,108,12,0.0025,2310.1066666666666,0.023855592108427668
24,Stearic_acid,108,12,0.0025,1844.0593333333331,0.06873393736365344
48,Stearic_acid,108,12,0.0025,1054.9166666666667,0.16398073465295163
6,Stearic_acid,96,24,0.0025,2799.9366666666665,0.007219377346252549
12,Stearic_acid,96,24,0.0025,3779.260333333333,0.025910278778319484
24,Stearic_acid,96,24,0.0025,3757.815666666667,0.07359283198164472
48,Stearic_acid,96,24,0.0025,1976.7416666666668,0.2018981967587141
6,Stearic_acid,72,48,0.0025,4399.938000000001,0.009424153427099005
12,Stearic_acid,72,48,0.0025,2694.8216666666667,0.03179896863851708
24,Stearic_acid,72,48,0.0025,2034.0597666666667,0.08288950082352296
48,Stearic_acid,72,48,0.0025,237.74149,0.184549201319785
6,Compritol_888,120,0,0.0,42.617999999999995,0.001543769243517707
12,Compritol_888,120,0,0.0,3.291466666666622,0.006253693115083066
24,Compritol_888,120,0,0.0,23.776933333333318,0.023833756381220404
48,Compritol_888,120,0,0.0,17.50909999999999,0.04448961429657505
6,Compritol_888,108,12,0.0,27.922133333333306,0.0014427713155280662
12,Compritol_888,108,12,0.0,22.82123333333334,0.0059617765502540734
24,Compritol_888,108,12,0.0,19.010633333333317,0.027585948273511626
48,Compritol_888,108,12,0.0,30.438533333333282,0.04984095268791055
6,Compritol_888,96,24,0.0,38.9856666666667,0.0012049719439314536
12,Compritol_888,96,24,0.0,9.932633333333342,0.008233838651101883
24,Compritol_888,96,24,0.0,19.35656666666665,0.026122931455870465
48,Compritol_888,96,24,0.0,39.67606666666666,0.052946657223606836
6,Compritol_888,72,48,0.0,13.433299999999974,0.0013131159733134662
12,Compritol_888,72,48,0.0,30.2491,0.01095469045599535
24,Compritol_888,72,48,0.0,26.524166666666645,0.03357600438083188
48,Compritol_888,72,48,0.0,47.97953333333331,0.05830203649930437
6,Compritol_888,120,0,0.0025,12.402100000000019,0.016760660561194806
12,Compritol_888,120,0,0.0025,2.695166666666694,0.038320630284881134
24,Compritol_888,120,0,0.0025,17.48660000000001,0.09475385824220244
48,Compritol_888,120,0,0.0025,35.08080000000001,0.18752210370399003
6,Compritol_888,108,12,0.0025,12.527733333333344,0.01403551262198077
12,Compritol_888,108,12,0.0025,18.130800000000022,0.03592624613074016
24,Compritol_888,108,12,0.0025,2.62439999999998,0.08935694313649556
48,Compritol_888,108,12,0.0025,25.985433333333333,0.18545902355662025
6,Compritol_888,96,24,0.0025,5.819866666666655,0.014421291900715937
12,Compritol_888,96,24,0.0025,19.841933333333373,0.0402
24,Compritol_888,96,24,0.0025,19.216499999999996,0.08297019770883406
48,Compritol_888,96,24,0.0025,26.326999999999998,0.17446745514348758
6,Compritol_888,72,48,0.0025,12.502066666666678,0.016031759244289564
12,Compritol_888,72,48,0.0025,2.49526666666668,0.03522754200123073
24,Compritol_888,72,48,0.0025,15.010766666666655,0.08620931241424402
48,Compritol_888,72,48,0.0025,6.309966666666696,0.1812557112154083
6,Compritol_888,120,0,0.005,33.80826666666667,0.01982091970474115
12,Compritol_888,120,0,0.005,35.4357,0.041659998267833266
24,Compritol_888,120,0,0.005,39.3313,0.10327053436165949
48,Compritol_888,120,0,0.005,11.736633333333373,0.1965361229629199
6,Compritol_888,108,12,0.005,32.73270000000002,0.014111912728767972
12,Compritol_888,108,12,0.005,16.75909999999999,0.038161273395021546
24,Compritol_888,108,12,0.005,23.156566666666606,0.0918061850214935
48,Compritol_888,108,12,0.005,18.864733333333334,0.19680698171763142
6,Compritol_888,96,24,0.005,6.914399999999944,0.015151642405327863
12,Compritol_888,96,24,0.005,10.811433333333355,0.03752468383725684
24,Compritol_888,96,24,0.005,7.071433333333289,0.08870490961734624
48,Compritol_888,96,24,0.005,10.532066666666708,0.19114266863146043
6,Compritol_888,72,48,0.005,40.21246666666667,0.015018358431940415
12,Compritol_888,72,48,0.005,25.54176666666666,0.03842689057906352
24,Compritol_888,72,48,0.005,23.166300000000035,0.08916652484280008
48,Compritol_888,72,48,0.005,30.09383333333335,0.1988487312933019
6,Compritol_888,120,0,0.01,50.30203333333333,0.015898169437188244
12,Compritol_888,120,0,0.01,64.2337333333333,0.037294273969988266
24,Compritol_888,120,0,0.01,46.29543333333339,0.08967641599442211
48,Compritol_888,120,0,0.01,54.60840000000002,0.1824136826603684
6,Compritol_888,108,12,0.01,43.18046666666669,0.016219610601193212
12,Compritol_888,108,12,0.01,54.45093333333335,0.03789131796917866
24,Compritol_888,108,12,0.01,39.60406666666671,0.09006534699391443
48,Compritol_888,108,12,0.01,30.107066666666697,0.19177526089966998
6,Compritol_888,96,24,0.01,30.038666666666643,0.016389705710359626
12,Compritol_888,96,24,0.01,22.209833333333336,0.03935320578156938
24,Compritol_888,96,24,0.01,14.693099999999959,0.09283441159213245
48,Compritol_888,96,24,0.01,16.01283333333339,0.18878123959554793
6,Compritol_888,72,48,0.01,9.353833333333341,0.01840940473903047
12,Compritol_888,72,48,0.01,4.801066666666657,0.043841722307292684
24,Compritol_888,72,48,0.01,2.9606333333333623,0.09378270786433411
48,Compritol_888,72,48,0.01,19.416733333333298,0.18952820598116685
6,Glyceryl_monostearate,120,0,0.0,32.41339999999997,0.0032305143591025674
12,Glyceryl_monostearate,120,0,0.0,66.06863333333331,0.013715669035407033
